symbol,datetime,headline,source,summary,url
AMZN,2025-03-08 04:10:00,"'Magnificent 7' Q4 2024 Earnings Review: Growth Holds, But Rotation Awaits",SeekingAlpha,"Q4 delivered another strong quarter for both top- and bottom-line growth, and it appears that analysts have become more precise in forecasting revenue for the group.",https://finnhub.io/api/news?id=09591544b9b96a1e9933ba9a6dfd6c0267c48e04569afc51e168cfd11a676db5
AMZN,2025-03-07 17:03:00,"Dow's nearly 300-point drop led by losses for shares of Boeing, American Express",MarketWatch,"Dow's nearly 300-point drop led by losses for shares of Boeing, American Express",https://finnhub.io/api/news?id=605b1a95200ec7810474b1824ea5406cbef6e4f3f2cdeb0da7fad950981bfa17
AMZN,2025-03-07 16:01:02,Nebius Stock: The Hidden Gem Set For Massive Growth,SeekingAlpha,"Nebius scales AI cloud infrastructure with $2.45B funding, Nvidia backing, and Dutch laws. Click here to find out why I rate NBIS stock a strong buy.",https://finnhub.io/api/news?id=6c5bb3e9a0c249391fb81c4aa2576292566849fc4aefca8195590a7d731235d8
AMZN,2025-03-07 15:59:00,Broadcom Stock Jumps After Chip Maker Beats Earnings. The AI Trade Isn’t Dead.,MarketWatch,Broadcom Stock Jumps After Chip Maker Beats Earnings. The AI Trade Isn’t Dead.,https://finnhub.io/api/news?id=4065df9dd90e09fd72d396b22e817a3d92709024e002b705ade411ee41081b0b
AMZN,2025-03-07 15:30:00,ClearBridge Large Cap Value ESG Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Large Cap Value ESG Strategy outperformed its Russell 1000 Value Index benchmark during the fourth quarter. Click here to read the full commentary.,https://finnhub.io/api/news?id=7e228e271dbbbed2936b7823e7f004835066d03686b38d9a2512caef77fed81c
AMZN,2025-03-07 15:19:50,Goldman Sachs: How The Next Chapter In AI Stocks Will Unfold,DowJones,Goldman Sachs: How The Next Chapter In AI Stocks Will Unfold,https://finnhub.io/api/news?id=81a7641c533f3aca4027ac9814d01542044e62e243355b65cf555a8cf44f46b1
AMZN,2025-03-07 15:10:00,ClearBridge All Cap Growth Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge All Cap Growth Strategy underperformed its Russell 3000 Growth Index benchmark in the fourth quarter. Click here to read the full commentary. ,https://finnhub.io/api/news?id=81b2942b352a432f4c8934f624e12169c63abda471c2d5a524050f1bd70c8ce0
AMZN,2025-03-07 14:15:00,Nvidia: The Golden Ticket To The AI Gold Rush Seems Undervalued,SeekingAlpha,NVIDIAâs strong performance and AI sector growth make it appealing. Learn why NVDA stockâs undervaluation and potential in robotics make it a buy now.,https://finnhub.io/api/news?id=47a3102a2db1bb8b883a97cd66786e83ef85786b8b8993d28e017687a44f337d
AMZN,2025-03-07 13:53:17,CET: This Outperforming Fund Can Complement A Portfolio Well,SeekingAlpha,Central Securities Corporation offers strong growth despite a lower yield. See why CET CEF's low expense ratio and market performance make it a top choice.,https://finnhub.io/api/news?id=b06462d6359e425a57355990f896b6e4e3223261a820b5dacdad2be7190ac428
AMZN,2025-03-07 11:30:00,ClearBridge Sustainability Leaders Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Sustainability Leaders Strategy underperformed its Russell 3000 Index benchmark in the fourth quarter. Click here to read the full commentary. ,https://finnhub.io/api/news?id=fb2e55384790705160d8b5760e9c05d28d5289a60ff0a20e24967029f1bff53d
AMZN,2025-03-07 10:05:00,ClearBridge Global Growth Strategy Q4 2024 Commentary,SeekingAlpha,"During the fourth quarter, the ClearBridge Global Growth Strategy outperformed its MSCI ACWI benchmark. Click here to read the full commentary.",https://finnhub.io/api/news?id=59930a1a9918ccb79efd1b65488418aa3dd6328949c2ef1595ec3cf14694e035
AMZN,2025-03-07 02:54:00,Fidelity Magellan Fund Q4 2024 Review,SeekingAlpha,"For the final quarter of 2024, the fund gained 1.08%, trailing the 2.41% advance of the benchmark S&P 500Â® index. Read more here.",https://finnhub.io/api/news?id=8bff7b12d667384fef403a8b91541138f8785e23af01847cf6ae1f7cd941c6ca
AMZN,2025-03-06 23:51:24,"US Labor Department investigating Nvidia, Amazon-backed startup Scale AI",Finnhub,"The U.S. Department of Labor is investigating Scale AI, a data labeling startup backed by tech giants Nvidia, Amazon and Meta, for its compliance with the Fair Labor Standards Act, the...",https://finnhub.io/api/news?id=51dbb7ce25e2eac2f87dc2a13a0a3738fbd0b2476a1ac2d7df9793f37b896635
AMZN,2025-03-06 23:15:23,Broadcom Earnings: An AI Light In The Tariff Dark,SeekingAlpha,"Broadcom's Q1 earnings beat expectations with strong AI revenue projections. Despite market challenges, analysts suggest AVGO remains a Buy.",https://finnhub.io/api/news?id=c9562a5b6bba376942d9603a91f6d6abd713df1ebec0a6af0ef1f4efc636c11b
AMZN,2025-03-06 21:07:00,Wall Street Lunch: AI Showdown On The Cards,SeekingAlpha,"Chinese companies are continuing to make big strides in artificial intelligence, as Alibaba (BABA) unveiled its latest reasoning model with fewer parameters.",https://finnhub.io/api/news?id=bfc75aa7960863d63c49fc5f8320f3f9ee42bc82ec18f768c3f50361651c3d3e
AMZN,2025-03-06 20:43:00,The AI Trade Got Crushed. It May Take Time to Rebuild.,MarketWatch,The AI Trade Got Crushed. It May Take Time to Rebuild.,https://finnhub.io/api/news?id=194a1aea8e1281f9bf92ebe9fe9fc37872c8fd8f14055881478d0b831eaf4069
AMZN,2025-03-06 20:31:10,Marvell Misses Q1 Sales 'Whisper Number.' AI Chipmaker's Stock Drops.,DowJones,Marvell Misses Q1 Sales 'Whisper Number.' AI Chipmaker's Stock Drops.,https://finnhub.io/api/news?id=d8f1bb71c87897dd8004f039d5b750661998b04c4ea7257802550210c21e0bda
AMZN,2025-03-06 20:23:00,"NVIDIA Corp., Amazon.com Inc. share losses contribute to Dow's 365-point drop",MarketWatch,"NVIDIA Corp., Amazon.com Inc. share losses contribute to Dow's 365-point drop",https://finnhub.io/api/news?id=b82d365f3d83734b20102b9aef582a1efecec182adf0650a9383c05697aca0c6
AMZN,2025-03-06 20:15:00,Fidelity Large Cap Stock Fund Q4 2024 Review,SeekingAlpha,"For the quarter, the fund gained 2.62%, versus 2.41% for the benchmark S&P 500Â® index. The top individual contributor versus the benchmark was a sizable overweight in Wells Fargo.",https://finnhub.io/api/news?id=3345fd736fb37852bd1ad49558b08b70e0aecaed76adefb164d0ac83576e7018
AMZN,2025-03-06 19:33:12,"Marvell: Well-Deserved Sell-Off, But Way Overdone (Upgrade)",SeekingAlpha,"Marvell Technology, Inc.'s AI and networking growth prospects may be undervalued, offering a potential buying opportunity. Click here to read why MRVL is a Buy.",https://finnhub.io/api/news?id=216042bbebbd8e7366445201bf1990df490c300aaaa20d56228f0a83889a5e9a
AMZN,2025-03-06 19:22:00,"Dow's 484-point drop led by losses in NVIDIA Corp., Amazon.com Inc. stocks",MarketWatch,"Dow's 484-point drop led by losses in NVIDIA Corp., Amazon.com Inc. stocks",https://finnhub.io/api/news?id=b382c3ef773ac5c9b041a8a328ee645ae5ad256f7c7fbfd94366bf3bd2f28fd1
AMZN,2025-03-06 19:12:52,Kroger Stock Pops Into Buy Range On Earnings Beat,DowJones,Kroger Stock Pops Into Buy Range On Earnings Beat,https://finnhub.io/api/news?id=1809718ddf09ce896ce8c14c6db9efe5b45f48c61edd4341386ce68d791ddbd5
